Date,Open,High,Low,Close,Adj Close,Volume
18/5/2016,3.87,3.92,3.85,3.87,3.171251,16743800
19/5/2016,3.86,3.86,3.77,3.81,3.122085,23229800
20/5/2016,3.82,3.86,3.79,3.84,3.146668,15441700
23/5/2016,3.81,3.87,3.78,3.87,3.171251,9331500
24/5/2016,3.86,3.87,3.8,3.81,3.122085,13269200
25/5/2016,3.86,3.9,3.82,3.82,3.130279,19082000
26/5/2016,3.86,3.91,3.86,3.86,3.163057,20183000
27/5/2016,3.89,3.93,3.87,3.93,3.220419,19116700
30/5/2016,3.9,3.93,3.89,3.9,3.195835,13184900
31/5/2016,3.94,3.97,3.87,3.87,3.171251,34367600
1/6/2016,3.86,3.9,3.84,3.89,3.18764,23628900
2/6/2016,3.87,3.9,3.87,3.89,3.18764,9271600
3/6/2016,3.92,3.93,3.88,3.9,3.195835,14034700
6/6/2016,3.94,3.96,3.92,3.95,3.236807,13887600
7/6/2016,3.96,3.97,3.92,3.95,3.236807,11553600
8/6/2016,3.94,3.98,3.93,3.96,3.245002,14738700
9/6/2016,3.97,3.98,3.94,3.95,3.236807,10117400
10/6/2016,3.96,3.96,3.85,3.9,3.195835,17906500
13/6/2016,3.85,3.86,3.82,3.86,3.163057,20607200
14/6/2016,3.83,3.85,3.8,3.8,3.113891,19283600
15/6/2016,3.8,3.82,3.77,3.81,3.122085,22058600
16/6/2016,3.79,3.81,3.76,3.78,3.097502,24515700
17/6/2016,3.83,3.83,3.78,3.79,3.105696,15599600
20/6/2016,3.84,3.86,3.82,3.85,3.154863,19208108
21/6/2016,3.85,3.88,3.84,3.84,3.146668,14020100
22/6/2016,3.86,3.92,3.85,3.85,3.154863,17528100
23/6/2016,3.9,3.91,3.86,3.87,3.171251,13841900
24/6/2016,3.9,3.9,3.8,3.82,3.130279,33511300
27/6/2016,3.84,3.92,3.83,3.89,3.18764,22902900
28/6/2016,3.85,4,3.84,3.99,3.269585,43340800
29/6/2016,4.01,4.08,3.99,4.04,3.310557,32613900
30/6/2016,4.16,4.17,4.09,4.13,3.384307,48906500
1/7/2016,4.12,4.14,4.09,4.14,3.392501,26068600
4/7/2016,4.13,4.15,4.11,4.15,3.400696,12568700
5/7/2016,4.14,4.16,4.12,4.15,3.400696,15909900
7/7/2016,4.2,4.22,4.16,4.17,3.417085,35942000
8/7/2016,4.16,4.17,4.12,4.14,3.392501,41180600
11/7/2016,4.2,4.24,4.18,4.23,3.466252,25020600
12/7/2016,4.25,4.32,4.24,4.31,3.531807,34199400
13/7/2016,4.32,4.32,4.23,4.26,3.490836,26307400
14/7/2016,4.24,4.26,4.23,4.25,3.482641,12500700
15/7/2016,4.31,4.35,4.24,4.28,3.507224,34710700
18/7/2016,4.28,4.3,4.23,4.24,3.474446,37973801
19/7/2016,4.24,4.25,4.2,4.24,3.474446,28975700
20/7/2016,4.29,4.36,4.27,4.3,3.523613,27596700
21/7/2016,4.32,4.35,4.23,4.23,3.466252,24400900
22/7/2016,4.24,4.3,4.24,4.3,3.523613,21727800
25/7/2016,4.33,4.33,4.28,4.28,3.507224,19227500
26/7/2016,4.26,4.32,4.23,4.32,3.540002,17973100
27/7/2016,4.32,4.32,4.26,4.31,3.531807,14559100
28/7/2016,4.28,4.3,4.26,4.29,3.515418,15510100
29/7/2016,4.23,4.27,4.17,4.18,3.425279,38117000
1/8/2016,4.16,4.2,4.15,4.18,3.425279,42988000
2/8/2016,4.09,4.11,4.03,4.05,3.405937,30981100
3/8/2016,4,4.09,3.96,4.06,3.414347,34791700
4/8/2016,4.06,4.11,4.06,4.08,3.431166,26839400
5/8/2016,4.08,4.1,4.05,4.07,3.422757,22561700
8/8/2016,4.11,4.24,4.09,4.2,3.532083,28900200
10/8/2016,4.17,4.26,4.17,4.2,3.532083,24644700
11/8/2016,4.22,4.33,4.21,4.27,3.590951,40290200
12/8/2016,4.28,4.29,4.22,4.25,3.574132,16096700
15/8/2016,4.27,4.32,4.27,4.31,3.62459,12387100
16/8/2016,4.32,4.32,4.25,4.27,3.590951,11294100
17/8/2016,4.23,4.26,4.2,4.21,3.540493,11623200
18/8/2016,4.23,4.26,4.2,4.2,3.532083,15920600
19/8/2016,4.26,4.26,4.16,4.19,3.523673,13056500
22/8/2016,4.21,4.22,4.17,4.19,3.523673,9265100
23/8/2016,4.21,4.22,4.18,4.22,3.548902,8655700
24/8/2016,4.21,4.24,4.18,4.24,3.565722,9533100
25/8/2016,4.24,4.28,4.23,4.27,3.590951,8785800
26/8/2016,4.28,4.28,4.2,4.22,3.548902,12234300
